epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,106.431,1.59354,2.09794,0.83677,0.93383,0.9388,0.91796,0.96474,0.56534,0.92569,0.9068,0.9446,0.43428,1.49714,1.84262,0.74749,0.93315,0.0013229,0.0013229,0.0013229
77,107.748,1.77113,2.01786,0.89364,0.96782,0.9388,0.91796,0.96474,0.56534,0.92569,0.9068,0.9446,0.43428,1.49714,1.84262,0.74749,0.93315,0.00132148,0.00132148,0.00132148
78,109.039,1.67798,2.03473,0.84265,0.93838,0.93516,0.9188,0.9665,0.58714,0.90659,0.89596,0.93471,0.41208,1.37342,2.08657,0.69386,0.91097,0.00132007,0.00132007,0.00132007
79,110.307,1.71905,2.0777,0.84681,0.92498,0.93516,0.9188,0.9665,0.58714,0.90659,0.89596,0.93471,0.41208,1.37342,2.08657,0.69386,0.91097,0.00131865,0.00131865,0.00131865
80,111.564,1.64188,2.11391,0.83609,0.95547,0.90865,0.93381,0.95355,0.56905,0.88461,0.91992,0.91146,0.43225,1.42895,1.84913,0.69002,0.91815,0.00131724,0.00131724,0.00131724
81,112.8,1.53439,1.93912,0.79368,0.91104,0.90865,0.93381,0.95355,0.56905,0.88461,0.91992,0.91146,0.43225,1.42895,1.84913,0.69002,0.91815,0.00131582,0.00131582,0.00131582
82,114.112,1.53799,1.75398,0.80051,0.90977,0.93034,0.93142,0.95769,0.54868,0.91457,0.92003,0.94777,0.43705,1.52424,1.84207,0.75074,0.93228,0.00131441,0.00131441,0.00131441
83,115.41,1.5739,2.01857,0.76004,0.93735,0.93034,0.93142,0.95769,0.54868,0.91457,0.92003,0.94777,0.43705,1.52424,1.84207,0.75074,0.93228,0.00131299,0.00131299,0.00131299
84,116.663,1.57251,1.95817,0.80242,0.93592,0.90317,0.95441,0.96097,0.59447,0.86166,0.92031,0.91195,0.41869,1.38145,1.63477,0.7132,0.911,0.00131158,0.00131158,0.00131158
85,117.944,1.66356,2.03022,0.80801,0.91714,0.90317,0.95441,0.96097,0.59447,0.86166,0.92031,0.91195,0.41869,1.38145,1.63477,0.7132,0.911,0.00131016,0.00131016,0.00131016
86,119.239,1.6994,2.07704,0.83357,0.93545,0.93317,0.95441,0.97244,0.60771,0.89768,0.92031,0.92373,0.4541,1.35426,1.6368,0.66846,0.90631,0.00130875,0.00130875,0.00130875
87,120.52,1.58542,2.03407,0.81732,0.92108,0.93317,0.95441,0.97244,0.60771,0.89768,0.92031,0.92373,0.4541,1.35426,1.6368,0.66846,0.90631,0.00130733,0.00130733,0.00130733
88,121.839,1.60036,2.19448,0.82869,0.92784,0.95993,0.92418,0.96566,0.59557,0.93585,0.90165,0.92713,0.45819,1.39722,1.67459,0.68054,0.92029,0.00130592,0.00130592,0.00130592
89,123.092,1.46502,1.90999,0.76172,0.90199,0.95993,0.92418,0.96566,0.59557,0.93585,0.90165,0.92713,0.45819,1.39722,1.67459,0.68054,0.92029,0.00130451,0.00130451,0.00130451
90,124.349,1.50497,1.85777,0.79693,0.9539,0.93979,0.91972,0.95937,0.63646,0.92776,0.91378,0.95342,0.45078,1.30429,1.62681,0.65196,0.90398,0.00130309,0.00130309,0.00130309
91,125.681,1.50453,1.92941,0.76529,0.88173,0.93979,0.91972,0.95937,0.63646,0.92776,0.91378,0.95342,0.45078,1.30429,1.62681,0.65196,0.90398,0.00130168,0.00130168,0.00130168
92,127.047,1.59934,2.04582,0.80326,0.94921,0.97813,0.90454,0.95925,0.62081,0.92993,0.86019,0.90747,0.40554,1.32888,1.72284,0.66923,0.90069,0.00130026,0.00130026,0.00130026
93,128.281,1.52716,1.94917,0.76899,0.88994,0.97813,0.90454,0.95925,0.62081,0.92993,0.86019,0.90747,0.40554,1.32888,1.72284,0.66923,0.90069,0.00129885,0.00129885,0.00129885
94,129.52,1.4874,1.74781,0.73237,0.92122,0.94001,0.93853,0.97612,0.61627,0.91613,0.91629,0.94298,0.44191,1.36398,1.74662,0.7102,0.89773,0.00129743,0.00129743,0.00129743
95,130.779,1.5063,1.91924,0.75047,0.95322,0.94001,0.93853,0.97612,0.61627,0.91613,0.91629,0.94298,0.44191,1.36398,1.74662,0.7102,0.89773,0.00129602,0.00129602,0.00129602
96,132.043,1.65096,2.09985,0.83027,0.88125,0.9596,0.95897,0.98128,0.60788,0.93675,0.93649,0.94607,0.37207,1.33896,2.0215,0.70632,0.8986,0.0012946,0.0012946,0.0012946
97,133.326,1.37722,1.9746,0.71423,0.92355,0.9596,0.95897,0.98128,0.60788,0.93675,0.93649,0.94607,0.37207,1.33896,2.0215,0.70632,0.8986,0.00129319,0.00129319,0.00129319
98,134.563,1.50201,1.87048,0.72322,0.88932,0.96713,0.97486,0.98071,0.61682,0.96713,0.97486,0.98071,0.44726,1.29766,1.63654,0.70606,0.89614,0.00129177,0.00129177,0.00129177
99,135.825,1.54761,1.73859,0.74721,0.92614,0.96713,0.97486,0.98071,0.61682,0.96713,0.97486,0.98071,0.44726,1.29766,1.63654,0.70606,0.89614,0.00129036,0.00129036,0.00129036
100,137.12,1.57556,1.89669,0.77003,0.912,0.95871,0.9753,0.97981,0.59117,0.94722,0.96433,0.96793,0.47254,1.4168,1.78201,0.75019,0.92006,0.00128894,0.00128894,0.00128894
101,138.375,1.46476,1.88474,0.70741,0.93596,0.95871,0.9753,0.97981,0.59117,0.94722,0.96433,0.96793,0.47254,1.4168,1.78201,0.75019,0.92006,0.00128753,0.00128753,0.00128753
102,139.679,1.53383,1.94237,0.74589,0.8994,0.96099,0.96096,0.97967,0.62253,0.92839,0.92546,0.94734,0.42593,1.30744,1.65533,0.70733,0.90917,0.00128611,0.00128611,0.00128611
103,140.943,1.46731,1.78325,0.73129,0.86942,0.96099,0.96096,0.97967,0.62253,0.92839,0.92546,0.94734,0.42593,1.30744,1.65533,0.70733,0.90917,0.0012847,0.0012847,0.0012847
104,142.213,1.48299,1.92846,0.76092,0.86221,0.96825,0.97456,0.98153,0.62134,0.93386,0.94097,0.9468,0.41345,1.29968,1.65442,0.68789,0.90122,0.00128328,0.00128328,0.00128328
105,143.468,1.35362,1.78346,0.72765,0.90958,0.96825,0.97456,0.98153,0.62134,0.93386,0.94097,0.9468,0.41345,1.29968,1.65442,0.68789,0.90122,0.00128187,0.00128187,0.00128187
106,144.73,1.41521,1.80174,0.75272,0.87064,0.94464,0.95636,0.98298,0.63301,0.93208,0.94498,0.97872,0.49228,1.28914,1.65262,0.64249,0.90449,0.00128046,0.00128046,0.00128046
107,146.027,1.47272,1.84594,0.68785,0.88345,0.94464,0.95636,0.98298,0.63301,0.93208,0.94498,0.97872,0.49228,1.28914,1.65262,0.64249,0.90449,0.00127904,0.00127904,0.00127904
